Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2026-07-30 16:00:00-04:00,0.6,,,LNT
2026-04-30 18:00:00-04:00,0.8,0.82,2.85,LNT
2026-02-19 18:00:00-05:00,0.58,0.6,2.67,LNT
2025-11-06 18:00:00-05:00,1.19,1.12,-5.8,LNT
2025-08-07 18:00:00-04:00,0.64,0.68,6.0,LNT
2025-05-08 18:00:00-04:00,0.71,0.83,16.9,LNT
2025-02-20 18:00:00-05:00,0.68,0.7,2.77,LNT
2024-10-31 18:00:00-04:00,1.1,1.15,4.37,LNT
2024-08-01 18:00:00-04:00,0.64,0.57,-10.69,LNT
2024-05-02 17:00:00-04:00,0.62,0.62,0.16,LNT
2024-02-15 18:00:00-05:00,0.55,0.48,-11.93,LNT
2023-11-02 18:00:00-04:00,0.93,1.05,13.08,LNT
2023-08-03 18:00:00-04:00,0.58,0.64,9.8,LNT
2023-05-04 18:00:00-04:00,0.71,0.65,-7.9,LNT
2023-02-23 18:00:00-05:00,0.47,0.46,-1.79,LNT
2022-11-07 18:00:00-05:00,1.02,0.93,-8.76,LNT
2022-08-04 18:00:00-04:00,0.58,0.63,8.62,LNT
2022-04-28 18:00:00-04:00,0.72,0.77,6.94,LNT
2022-02-17 18:00:00-05:00,0.36,0.35,-1.98,LNT
2021-11-04 18:00:00-04:00,0.97,1.02,5.62,LNT
2021-08-05 18:00:00-04:00,0.56,0.57,2.31,LNT
2021-05-06 18:00:00-04:00,0.67,0.68,0.85,LNT
2021-02-18 18:00:00-05:00,0.23,0.24,3.7,LNT
2020-11-02 18:00:00-05:00,0.88,0.94,6.62,LNT
2020-08-06 18:00:00-04:00,0.47,0.54,14.09,LNT
2020-05-07 19:00:00-04:00,0.54,0.72,32.52,LNT
2020-02-20 18:00:00-05:00,0.43,0.44,3.14,LNT
2019-11-06 18:00:00-05:00,0.92,0.94,1.76,LNT
2019-08-01 18:00:00-04:00,0.44,0.4,-9.04,LNT
2019-05-02 19:00:00-04:00,0.51,0.53,3.26,LNT
2019-02-21 18:00:00-05:00,0.35,0.36,2.37,LNT
2018-11-06 18:00:00-05:00,0.84,0.85,1.07,LNT
2018-08-02 18:00:00-04:00,0.45,0.43,-4.75,LNT
2018-05-02 18:00:00-04:00,0.5,0.52,4.36,LNT
2018-02-22 17:00:00-05:00,0.36,0.33,-7.69,LNT
2017-11-02 18:00:00-04:00,0.86,0.75,-12.37,LNT
2017-08-03 18:00:00-04:00,0.38,0.41,7.59,LNT
2017-05-03 18:00:00-04:00,0.43,0.43,-0.56,LNT
2017-02-23 18:00:00-05:00,0.28,0.28,-1.12,LNT
2016-11-03 18:00:00-04:00,0.91,0.8,-11.94,LNT
2016-08-01 18:00:00-04:00,0.38,0.37,-2.81,LNT
2016-05-04 18:00:00-04:00,0.43,0.43,-0.33,LNT
2016-02-22 18:00:00-05:00,0.22,0.16,-25.62,LNT
2015-11-05 18:00:00-05:00,0.77,0.82,6.39,LNT
2015-08-06 06:00:00-04:00,0.31,0.34,9.84,LNT
2015-04-30 18:00:00-04:00,0.46,0.44,-4.58,LNT
2015-02-23 18:00:00-05:00,0.28,0.27,-2.68,LNT
2014-11-06 18:00:00-05:00,0.69,0.7,1.95,LNT
2014-08-06 18:00:00-04:00,0.3,0.28,-6.59,LNT
2014-05-01 18:00:00-04:00,0.4,0.49,22.23,LNT
