Earnings Date,EPS Estimate,Reported EPS,Surprise(%),symbol
2026-08-12 08:00:00-04:00,1.19,,,AMCR
2026-05-06 06:00:00-04:00,0.95,0.96,0.55,AMCR
2026-02-03 16:00:00-05:00,0.84,0.86,2.47,AMCR
2025-11-05 16:00:00-05:00,0.92,0.97,4.9,AMCR
2025-08-14 05:00:00-04:00,1.08,1.0,-7.21,AMCR
2025-04-30 16:00:00-04:00,0.91,0.9,-1.3,AMCR
2025-02-04 06:00:00-05:00,0.79,0.81,2.15,AMCR
2024-10-31 16:00:00-04:00,0.82,0.81,-1.22,AMCR
2024-08-15 16:00:00-04:00,1.02,1.06,2.93,AMCR
2024-04-30 16:00:00-04:00,0.82,0.89,8.78,AMCR
2024-02-06 16:00:00-05:00,0.76,0.79,2.87,AMCR
2023-10-31 16:00:00-04:00,0.74,0.78,5.39,AMCR
2023-08-16 16:00:00-04:00,0.9,0.97,7.47,AMCR
2023-05-02 16:00:00-04:00,0.91,0.88,-4.32,AMCR
2023-02-07 16:00:00-05:00,0.89,0.93,3.74,AMCR
2022-11-01 16:00:00-04:00,0.89,0.91,2.25,AMCR
2022-08-17 16:00:00-04:00,1.18,1.22,3.27,AMCR
2022-05-03 16:00:00-04:00,0.99,1.02,3.28,AMCR
2022-02-01 16:00:00-05:00,0.9,0.91,0.66,AMCR
2021-11-02 16:00:00-04:00,0.87,0.89,2.09,AMCR
2021-08-17 16:00:00-04:00,1.08,1.15,5.81,AMCR
2021-05-04 16:00:00-04:00,0.86,0.91,5.34,AMCR
2021-02-02 16:00:00-05:00,0.86,0.88,1.36,AMCR
2020-11-05 16:00:00-05:00,0.76,0.79,4.53,AMCR
2020-08-18 03:00:00-04:00,0.96,0.98,1.42,AMCR
2020-05-11 16:00:00-04:00,0.8,0.78,-2.62,AMCR
2020-02-11 16:00:00-05:00,0.74,0.79,6.62,AMCR
2019-11-07 16:00:00-05:00,0.75,0.67,-10.71,AMCR
2019-08-20 16:00:00-04:00,1.05,1.35,28.94,AMCR
